race,linked_fate,linked_progress,linked_hurt,party_id,WEIGHT,AGE,Gender,party_reg,for_born,income_level,edu_level
Whites,2,-1,2,3,1.81382,61,2,Decline to State,1,2,7
Whites,1,-1,-1,2,1.01323,62,2,Republican,1,2,4
Latinx,-1,1,1,4,0.51691,27,2,Democrat,1,2,7
Asians,-2,1,-1,1,0.57689,26,1,Decline to State,1,2,7
Whites,NA,NA,NA,4,1.12757,27,1,Decline to State,1,4,5
Whites,1,-2,-2,3,0.35996,35,2,Democrat,1,4,8
Blacks,2,1,1,1,0.49162,25,2,Democrat,1,2,7
Whites,-1,-1,-1,3,1.10089,65,2,Decline to State,1,4,8
Whites,-1,-1,-1,3,1.78562,26,1,Decline to State,1,4,7
Asians,1,1,1,1,1.0444,26,1,Decline to State,2,4,7
Whites,2,-2,2,3,0.78058,54,2,Other,1,5,8
Whites,-2,-2,-2,1,0.15357,22,1,Democrat,1,6,7
Whites,-2,-2,-2,2,0.68624,47,2,Republican,1,6,8
Latinx,-1,1,-1,1,0.25112,44,2,Democrat,1,5,7
Whites,-2,-2,1,3,0.34504,69,2,Democrat,2,5,8
Latinx,-1,2,1,1,0.13137,24,2,Democrat,1,1,7
Latinx,1,1,-1,3,0.66191,24,1,Decline to State,1,2,7
Latinx,1,1,1,3,0.17331,41,2,Republican,1,4,7
Asians,1,-1,1,3,0.47163,25,1,Decline to State,2,3,7
Whites,1,-1,1,3,0.87986,66,2,Decline to State,1,1,5
Whites,1,1,1,2,1.15535,49,2,Decline to State,1,5,6
Latinx,1,1,-1,1,0.25326,37,2,Democrat,1,4,7
Asians,1,1,2,3,0.62948,49,2,Decline to State,2,5,7
Whites,NA,-2,-1,1,0.48501,33,2,Democrat,1,5,7
Blacks,2,2,2,1,1.52453,46,2,Democrat,1,1,5
Blacks,2,2,1,3,0.56355,71,1,Other,1,5,8
Latinx,2,1,1,1,2.31894,31,2,Democrat,1,5,8
Latinx,-2,1,-1,2,0.8065,19,1,Republican,1,1,5
Latinx,2,-1,1,4,1.7006,23,1,Other,1,3,6
Latinx,1,2,2,1,0.1383,24,2,Democrat,2,2,7
Latinx,1,1,1,1,0.13137,24,2,Democrat,1,3,7
Whites,2,1,2,2,0.54179,23,1,Republican,1,4,6
Whites,2,-2,-1,1,0.5001,35,2,Democrat,1,6,8
Asians,1,1,1,3,0.26688,23,1,Republican,1,2,4
Whites,-1,-1,-1,1,0.33531,59,2,Republican,1,5,7
Whites,-2,-2,-2,1,0.48838,48,2,Democrat,1,4,7
Whites,-1,-2,-2,1,0.40829,61,2,Democrat,1,3,7
Whites,1,-1,1,4,1.71655,28,1,Decline to State,1,2,6
Whites,-1,-2,-1,1,0.72991,19,1,Democrat,1,5,3
Whites,1,1,1,1,1.50122,53,2,Democrat,1,4,7
Whites,NA,NA,-2,3,0.48268,75,2,Other,1,3,8
Latinx,2,2,2,2,0.94419,28,1,Republican,1,2,5
Whites,-1,-2,-2,1,0.55016,61,2,Democrat,1,5,8
Latinx,1,1,-1,1,0.28127,33,2,Decline to State,1,5,8
Latinx,1,1,1,3,0.45609,19,1,Decline to State,1,1,5
Whites,-2,-2,-2,1,0.5297,56,2,Democrat,1,5,7
Other,2,2,2,3,1.48564,49,2,Other,1,2,8
Whites,NA,NA,NA,2,0.48973,59,2,Other,1,4,7
Latinx,-2,-1,-2,2,1.51212,52,2,Republican,1,4,4
Whites,2,1,-1,1,2.0912,70,2,Democrat,1,1,6
Whites,-1,-1,1,2,7.37535,64,2,Republican,1,4,4
Whites,2,1,1,1,0.46327,71,2,Democrat,1,5,7
Whites,1,-1,-1,3,1.79901,28,1,Republican,2,4,7
Whites,2,2,2,1,0.25197,24,1,Decline to State,1,4,4
Whites,-1,-1,-1,1,0.69308,34,2,Democrat,1,4,5
Whites,2,-1,-1,4,3.44387,64,2,Republican,1,5,3
Other,NA,NA,NA,2,7.1187,57,2,Republican,1,5,3
Latinx,2,1,1,1,0.26486,49,2,Democrat,1,5,7
Asians,1,2,2,1,0.14874,21,1,Democrat,1,4,7
Whites,-2,-2,-2,1,0.49188,49,2,Democrat,1,5,8
Asians,-1,2,2,1,0.22473,19,2,Democrat,1,5,5
Whites,NA,NA,NA,1,0.71917,19,2,Democrat,1,4,3
Asians,2,2,2,1,1.1456,73,2,Democrat,1,2,7
Latinx,2,2,2,1,0.6238,26,1,Democrat,1,2,8
Latinx,1,-1,-1,1,0.79461,40,2,Democrat,1,3,5
Latinx,1,1,-1,3,0.45609,21,1,Other,1,4,4
Whites,-2,-2,-2,4,1.06242,70,2,Decline to State,1,1,5
Whites,-2,-2,-2,4,1.44329,27,2,Decline to State,1,4,7
Whites,1,1,1,1,0.2442,18,1,Other,1,5,5
Whites,1,1,-1,1,0.55898,47,2,Decline to State,1,6,8
Whites,-2,-2,1,2,4.76117,49,2,Republican,2,6,3
Whites,1,-2,-2,1,0.4719,50,2,Democrat,1,2,5
Blacks,NA,NA,NA,3,0.98755,67,2,Decline to State,1,4,8
Latinx,2,2,2,3,0.31182,21,1,Decline to State,1,1,6
Whites,2,-2,-2,1,0.15286,22,1,Democrat,1,5,7
Latinx,2,2,2,1,0.31633,19,2,Democrat,1,4,5
Whites,-2,-2,-2,1,0.35996,36,2,Democrat,1,2,7
Asians,-1,-1,-2,2,0.43504,52,2,Decline to State,2,4,7
Whites,1,1,1,3,1.67103,18,1,Democrat,1,1,3
Asians,1,1,-1,4,4.72061,19,1,Other,1,1,3
Whites,-2,-2,-2,3,2.2952,70,2,Decline to State,1,5,6
Latinx,1,1,-1,1,0.42931,20,2,Democrat,1,1,5
Whites,1,-1,1,3,1.22994,21,1,Decline to State,1,1,3
Whites,1,-1,-1,1,0.46327,73,2,Democrat,1,4,8
Whites,NA,NA,NA,2,0.7343,42,2,Decline to State,1,5,8
Whites,1,-1,1,3,0.47901,27,1,Decline to State,1,3,7
Blacks,2,2,2,3,8.08889,47,2,Decline to State,1,4,4
Whites,2,1,1,3,1.86783,26,1,Republican,1,6,7
Whites,-2,-2,-2,1,0.26573,20,1,Democrat,1,5,5
Other,NA,NA,NA,2,1.77308,76,2,Republican,1,4,5
Whites,1,1,-1,1,0.42533,36,2,Democrat,1,5,8
Latinx,2,1,2,1,0.48123,26,2,Democrat,1,2,7
Whites,2,-2,-2,1,1.41221,41,2,Democrat,1,5,8
Latinx,1,1,1,1,0.1997,24,2,Democrat,1,2,4
Whites,1,-1,-1,1,0.28063,58,2,Democrat,1,4,7
Whites,NA,1,-2,1,1.83075,29,1,Decline to State,1,2,8
Asians,1,1,1,4,0.59083,19,2,Decline to State,1,1,3
Whites,NA,NA,NA,4,0.61984,43,2,Republican,1,5,8
Whites,1,1,1,3,0.42345,68,2,Other,1,4,8
Asians,NA,NA,NA,4,1.10126,41,2,Democrat,1,2,6
Whites,-1,-2,-1,1,0.33481,62,2,Democrat,1,6,8
Whites,1,1,1,2,0.3731,27,1,Republican,1,3,7
Whites,-2,-2,NA,2,0.38914,53,2,Republican,1,4,8
Whites,2,-1,1,2,1.75391,62,2,Republican,1,5,5
Whites,2,-1,1,1,0.89869,63,2,Democrat,1,4,4
Latinx,2,2,2,4,0.34252,55,2,Republican,1,3,8
Whites,-1,-2,-2,1,0.44429,40,2,Democrat,2,6,7
Whites,2,-2,-1,1,3.72661,20,1,Democrat,1,1,3
Blacks,NA,NA,NA,2,1.0813,38,1,Republican,2,6,7
Whites,2,2,1,2,1.72544,31,1,Republican,1,5,7
Whites,1,-1,-1,1,1.50122,52,2,Democrat,1,6,8
Whites,1,-1,1,1,0.53075,72,2,Democrat,1,4,8
Whites,1,-1,-1,3,0.63549,28,1,Republican,1,3,6
Whites,1,-1,-1,2,1.30624,71,2,Republican,1,5,8
Latinx,1,1,1,1,0.38907,30,2,Democrat,1,2,7
Whites,2,-1,1,4,0.58658,62,2,Other,1,1,6
Other,NA,NA,NA,3,0.766,51,2,Decline to State,1,6,8
Asians,1,1,1,1,0.22909,24,1,Decline to State,1,2,7
Whites,1,-1,1,3,1.3995,41,2,Decline to State,1,4,7
Latinx,2,2,2,1,0.77291,22,2,Decline to State,1,2,4
Whites,1,1,1,3,0.60888,22,1,Republican,1,1,6
Asians,1,1,1,4,0.38066,21,1,Democrat,2,5,5
Whites,2,-2,1,1,1.10831,33,2,Democrat,1,5,5
Whites,-2,-2,-2,2,0.48587,56,2,Republican,1,5,7
Latinx,1,2,1,1,0.24482,18,1,Decline to State,1,2,5
Whites,-2,-2,-2,1,0.94179,58,2,Democrat,1,5,5
Whites,1,-2,-2,1,0.22649,65,2,Democrat,1,2,8
Whites,-1,-2,-2,3,0.48004,36,1,Decline to State,1,4,8
Whites,1,-1,1,3,0.33397,61,2,Decline to State,1,6,7
Asians,2,2,2,2,0.44279,19,1,Decline to State,2,3,5
Latinx,2,2,1,1,0.38691,35,2,Democrat,1,5,7
Whites,-1,-2,-2,3,0.15589,24,2,Decline to State,1,4,7
Whites,-2,-2,-2,1,0.53075,78,2,Democrat,1,5,7
Whites,2,-1,1,1,0.48501,34,2,Democrat,1,3,7
Whites,-1,-1,-1,2,1.26652,72,2,Republican,1,4,5
Asians,NA,NA,NA,1,0.15154,24,2,Democrat,1,3,7
Whites,-2,-2,-2,2,2.68242,46,1,Republican,1,1,4
Whites,2,1,2,2,0.40208,21,1,Republican,1,5,6
Blacks,NA,NA,NA,4,1.55252,40,2,Republican,1,2,6
Whites,NA,NA,NA,4,1.10272,69,2,Decline to State,2,2,7
Latinx,1,1,1,1,0.84301,38,2,Democrat,1,2,4
Whites,2,1,-1,1,0.44262,34,1,Democrat,1,5,8
Whites,2,1,1,1,0.57937,35,2,Decline to State,1,3,7
Whites,1,-1,-1,1,0.48852,37,2,Democrat,1,6,8
Whites,-1,-1,-1,1,0.23011,32,2,Democrat,1,3,8
Latinx,-1,-1,-1,2,2.25875,34,2,Republican,1,1,8
Whites,1,-1,1,1,0.40235,48,2,Other,1,6,8
Asians,1,1,1,1,1.84337,29,1,Democrat,2,4,7
Whites,-1,-1,1,1,1.03215,50,2,Democrat,1,2,5
Asians,2,2,2,3,6.12195,73,2,Decline to State,2,6,8
Latinx,-1,1,1,1,0.7807,56,2,Democrat,1,2,5
Whites,-1,-2,-2,3,2.50022,79,2,Decline to State,1,3,8
Whites,1,-2,1,3,0.52462,32,2,Other,1,2,8
Whites,1,-2,-2,1,0.4118,29,1,Democrat,1,4,7
